,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
7692,76,34,0.05263157894736842,0.39473684210526316,1.381578947368421,-0.15789473684210525,0,1,0,0,0,0,0.45
11219,31,19,0.12903225806451613,0.4838709677419355,0.6451612903225806,0.0,0,1,0,0,0,0,0.61
11112,74,35,0.17567567567567569,0.2972972972972973,1.5405405405405406,0.13513513513513514,0,1,0,0,0,0,0.47
11787,76,24,0.06578947368421052,0.25,2.6052631578947367,-0.09210526315789473,0,1,0,0,0,0,0.32
12488,35,10,0.08571428571428572,0.2,2.4,0.0,0,1,0,0,0,0,0.29
12398,41,19,0.14634146341463414,0.3170731707317073,1.4146341463414633,-0.0975609756097561,1,0,0,0,0,0,0.46
15678,7,2,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,1,0,0,0,0,0,0.29
16351,12,1,0.08333333333333333,0.0,0.8333333333333334,0.0,1,0,0,0,0,0,0.08
19987,79,58,0.189873417721519,0.5443037974683544,2.0632911392405062,0.20253164556962025,0,1,0,0,0,0,0.73
22582,38,15,0.15789473684210525,0.23684210526315788,2.3947368421052633,-0.2631578947368421,0,1,0,0,0,0,0.4
23433,21,9,0.09523809523809523,0.3333333333333333,1.3333333333333333,-0.047619047619047616,0,1,0,0,0,0,0.43
5335,70,37,0.22857142857142856,0.3,0.2,0.0,0,0,0,0,1,0,0.53
5534,31,11,0.16129032258064516,0.1935483870967742,0.45161290322580644,0.0,0,0,0,0,1,0,0.36
5715,2,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0
7500,23,5,0.043478260869565216,0.17391304347826086,0.43478260869565216,0.21739130434782608,1,0,0,0,0,0,0.22
7686,71,35,0.2112676056338028,0.28169014084507044,0.4084507042253521,0.18309859154929578,1,0,0,0,0,0,0.49
8041,77,37,0.19480519480519481,0.2857142857142857,0.3246753246753247,0.025974025974025976,1,0,0,0,0,0,0.48
12914,73,33,0.1506849315068493,0.3013698630136986,0.821917808219178,0.0410958904109589,0,0,0,0,1,0,0.45
13515,80,35,0.275,0.1625,0.2875,-0.0625,0,0,0,0,1,0,0.44
14142,80,34,0.175,0.25,0.3375,-0.3625,0,0,0,0,1,0,0.43
27198,80,68,0.2,0.65,0.7625,0.275,0,1,0,0,0,0,0.85
28773,3,2,0.0,0.6666666666666666,2.0,-0.3333333333333333,0,1,0,0,0,0,0.67
29694,3,2,0.0,0.6666666666666666,2.0,-0.3333333333333333,0,1,0,0,0,0,0.67
6170,51,1,0.0,0.0196078431372549,0.6666666666666666,0.0,0,1,0,0,0,0,0.02
6308,58,4,0.0,0.06896551724137931,0.7586206896551724,0.0,0,1,0,0,0,0,0.07
6534,74,12,0.02702702702702703,0.13513513513513514,0.7837837837837838,-0.08108108108108109,0,1,0,0,0,0,0.16
7949,78,76,0.44871794871794873,0.5256410256410257,0.3333333333333333,0.2564102564102564,0,0,0,0,1,0,0.97
