playername,gp,tp,ppg,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W
Philip Larsen,151,37,0.3033333333333333,0.04258449883449883,0.26080759518259516,0.21232031857031855,0.018856837606837613,0.0,1.0,0.0,0.0,0.0,0
Philip McRae,15,3,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,-0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0
Philip Samuelsson,13,0,0.0,0.0,0.0,0.16666666666666666,-0.31666666666666665,0.0,1.0,0.0,0.0,0.0,0
Philip Tomasino,70,29,0.41,0.15714285714285714,0.2571428571428571,0.14285714285714285,0.05714285714285714,1.0,0.0,0.0,0.0,0.0,0
Philipp Kurashev,115,36,0.315,0.12325440194292653,0.18882817243472982,0.20947176684881602,-0.2062841530054645,1.0,0.0,0.0,0.0,0.0,0
Philippe Audet,4,0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,1.0,0.0,0
Philippe Boucher,818,324,0.35058823529411764,0.10767382699279081,0.24268194525979347,0.8157267506880475,0.07303394417377028,0.0,1.0,0.0,0.0,0.0,0
Philippe Bozon,144,41,0.2425,0.08368055555555555,0.1611111111111111,0.4969907407407408,0.1375,0.0,0.0,0.0,0.0,1.0,0
Philippe Cornet,2,1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Philippe Dupuis,116,18,0.12,0.02027027027027027,0.09966216216216217,0.5184684684684685,-0.012443693693693695,1.0,0.0,0.0,0.0,0.0,0
Philippe Maillet,2,0,0.0,0.0,0.0,0.0,-0.5,1.0,0.0,0.0,0.0,0.0,0
Philippe Myers,142,33,0.20500000000000002,0.04684583934583935,0.15650072150072147,0.4099206349206349,0.014954304954304963,0.0,1.0,0.0,0.0,0.0,0
Phillip Danault,467,247,0.44625000000000004,0.14205005926249756,0.3046718841762577,0.4025251401966556,0.0945181730993725,1.0,0.0,0.0,0.0,0.0,0
Pierre Aubry,202,50,0.186,0.09346690972497425,0.09212291805840193,0.6109072340040083,-0.07423829527055334,0.0,0.0,0.0,1.0,0.0,0
Pierre Bouchard,595,106,0.14833333333333332,0.03291471572270958,0.11548826117690299,1.4475413923040368,0.05449968893819279,0.0,1.0,0.0,0.0,0.0,0
Pierre Dagenais,192,85,0.39166666666666666,0.23461309523809526,0.1560350529100529,0.4602645502645502,0.03427579365079365,0.0,0.0,0.0,1.0,0.0,0
Pierre Engvall,162,58,0.3433333333333333,0.17592592592592593,0.1669973544973545,0.29828042328042326,0.08068783068783068,0.0,0.0,0.0,1.0,0.0,0
Pierre Gagne,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
Pierre Hedin,6,2,0.33,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0
Pierre Jarry,344,205,0.6342857142857143,0.2624174312506637,0.37220194453093974,0.3459108412119913,-0.1729964233217865,0.0,0.0,0.0,0.0,1.0,0
Pierre Lacroix,274,131,0.485,0.08654207922430704,0.3975793247110901,0.7283531364678519,-0.03352295170234504,0.0,1.0,0.0,0.0,0.0,0
Pierre Larouche,812,822,1.0042857142857144,0.4722622536244933,0.5326815285690707,0.33390473451719904,-0.07043075274876036,1.0,0.0,0.0,0.0,0.0,0
Pierre Mondou,548,456,0.7322222222222221,0.30962198971974414,0.42223541671261333,0.2830039769670783,0.3388047537742269,0.0,0.0,0.0,0.0,1.0,0
Pierre Pilote,890,498,0.555,0.09330907869531131,0.4619249751325574,1.4171086208189185,-0.00254602428515472,0.0,1.0,0.0,0.0,0.0,0
Pierre Plante,599,297,0.4577777777777778,0.19276453801961949,0.2651580158108628,0.9676992979876948,-0.07153253712346457,0.0,0.0,0.0,0.0,1.0,0
Pierre Rioux,14,3,0.21,0.07142857142857142,0.14285714285714285,0.2857142857142857,-0.21428571428571427,0.0,0.0,0.0,1.0,0.0,0
Pierre Sevigny,78,9,0.0525,0.023255813953488372,0.029069767441860465,0.7043749803847723,-0.030905752753977965,0.0,0.0,0.0,1.0,0.0,0
Pierre Turgeon,1370,1367,0.97,0.37978400916004007,0.5902720279362316,0.35134037544258556,0.11160801619254986,1.0,0.0,0.0,0.0,0.0,0
Pierre-Alexandre Parenteau,491,296,0.5433333333333333,0.20382776938885286,0.3400084314678013,0.6156177618933284,-0.10366138350521986,0.0,0.0,0.0,0.0,1.0,0
Pierre-Cedric Labrie,46,5,0.10000000000000002,0.03508771929824561,0.06516290726817042,1.3962791594370543,-0.11509543088490458,0.0,0.0,0.0,1.0,0.0,0
Pierre-Claude Drouin,3,0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0
Pierre-Edouard Bellemare,581,117,0.20625,0.10019969790162087,0.10450448491090034,0.2504676653027842,0.050617168195284556,1.0,0.0,0.0,0.0,0.0,0
Pierre-Luc Dubois,355,235,0.648,0.2745264858859769,0.3719648538100288,0.8581604807352422,0.0047063576225824435,1.0,0.0,0.0,0.0,0.0,0
Pierre-Luc Letourneau-Leblond,41,3,0.04,0.0,0.03981481481481482,3.672222222222222,-0.08796296296296297,0.0,0.0,0.0,1.0,0.0,0
Pierre-Marc Bouchard,654,378,0.5016666666666666,0.1574110540067762,0.34298942683104805,0.4701565810225647,-0.023135607637764583,1.0,0.0,0.0,0.0,0.0,0
Pierre-Olivier Joseph,20,5,0.155,0.03125,0.125,0.4375,-0.21875,0.0,1.0,0.0,0.0,0.0,0
Pierre-Yves Giroux,6,1,0.17,0.16666666666666666,0.0,2.8333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0
Pit Martin,1101,809,0.7288235294117649,0.27207588933217813,0.4564249969807292,0.513902589177012,0.1001230341260896,1.0,0.0,0.0,0.0,0.0,0
Pius Suter,131,60,0.45999999999999996,0.219377990430622,0.24318181818181817,0.25885167464114833,-0.1507177033492823,1.0,0.0,0.0,0.0,0.0,0
Polly Drouin,157,74,0.415,0.13247567844342037,0.2829877112135176,0.3628520225294419,0.0,0.0,0.0,0.0,1.0,0.0,0
Pontus Aberg,132,44,0.21000000000000002,0.06910563905766975,0.14268414881142735,0.15886579255942862,-0.04016202963436734,0.0,0.0,0.0,1.0,0.0,0
Poul Popiel,224,54,0.16571428571428573,0.02668271174213449,0.1394825463161626,0.6607024307045529,-0.19379267803503794,0.0,1.0,0.0,0.0,0.0,0
Prestin Ryan,1,0,0.0,0.0,0.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0
Pudge MacKenzie,36,8,0.22,0.1111111111111111,0.1111111111111111,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,1.0,0
Pyotr Schastlivy,194,48,0.4416666666666667,0.12102015631427397,0.32139494492435666,0.19697426756250289,0.20278349101878512,1.0,0.0,0.0,0.0,0.0,0
Quinn Hughes,198,155,0.7374999999999999,0.0645437522835221,0.6734898307148947,0.38054591401778104,-0.11492205577883326,0.0,1.0,0.0,0.0,0.0,0
Quintin Laing,82,12,0.184,0.016239316239316237,0.1700854700854701,0.16794871794871796,0.36495726495726494,0.0,0.0,0.0,1.0,0.0,0
Quinton Byfield,42,9,0.195,0.06944444444444445,0.125,0.41666666666666663,-0.027777777777777776,1.0,0.0,0.0,0.0,0.0,0
